[2024/10/08-15:05:43.085] AZcmd, AZreal, ELcmd, ELreal, 299.675807, 320.109166, 36.339820, 43.652980
[2024/10/08-15:05:43.403] AZcmd, AZreal, ELcmd, ELreal, 305.385498, 319.504250, 43.570794, 43.570642
[2024/10/08-15:05:43.722] AZcmd, AZreal, ELcmd, ELreal, 305.385690, 318.543287, 43.569920, 43.569882
[2024/10/08-15:05:44.044] AZcmd, AZreal, ELcmd, ELreal, 305.385883, 317.579132, 43.569043, 43.568970
[2024/10/08-15:05:44.363] AZcmd, AZreal, ELcmd, ELreal, 305.386078, 316.621240, 43.568157, 43.568118
[2024/10/08-15:05:44.686] AZcmd, AZreal, ELcmd, ELreal, 305.386270, 315.660368, 43.567279, 43.567206
[2024/10/08-15:05:45.007] AZcmd, AZreal, ELcmd, ELreal, 305.386465, 314.695666, 43.566392, 43.566355
[2024/10/08-15:05:45.323] AZcmd, AZreal, ELcmd, ELreal, 305.386659, 313.740480, 43.565509, 43.565443
[2024/10/08-15:05:45.643] AZcmd, AZreal, ELcmd, ELreal, 305.386851, 312.777236, 43.564638, 43.564561
[2024/10/08-15:05:45.967] AZcmd, AZreal, ELcmd, ELreal, 305.387044, 311.822355, 43.563760, 43.563709
[2024/10/08-15:05:46.283] AZcmd, AZreal, ELcmd, ELreal, 305.387240, 310.861696, 43.562869, 43.562828
[2024/10/08-15:05:46.605] AZcmd, AZreal, ELcmd, ELreal, 305.387431, 309.894257, 43.562000, 43.561946
[2024/10/08-15:05:46.923] AZcmd, AZreal, ELcmd, ELreal, 305.387625, 308.942872, 43.561115, 43.561034
[2024/10/08-15:05:47.246] AZcmd, AZreal, ELcmd, ELreal, 305.387817, 307.978959, 43.560240, 43.560152
[2024/10/08-15:05:47.565] AZcmd, AZreal, ELcmd, ELreal, 305.388013, 307.020794, 43.559353, 43.559270
[2024/10/08-15:05:47.883] AZcmd, AZreal, ELcmd, ELreal, 305.388206, 306.062264, 43.558473, 43.558389
[2024/10/08-15:05:48.205] AZcmd, AZreal, ELcmd, ELreal, 305.388398, 305.388693, 43.557600, 43.557507
[2024/10/08-15:05:48.523] AZcmd, AZreal, ELcmd, ELreal, 305.388593, 305.388571, 43.556714, 43.556625
[2024/10/08-15:05:48.844] AZcmd, AZreal, ELcmd, ELreal, 305.388785, 305.388753, 43.555840, 43.555774
[2024/10/08-15:05:49.165] AZcmd, AZreal, ELcmd, ELreal, 305.388979, 305.388997, 43.554957, 43.554922
[2024/10/08-15:05:49.482] AZcmd, AZreal, ELcmd, ELreal, 305.389173, 305.389149, 43.554074, 43.554010
[2024/10/08-15:05:49.805] AZcmd, AZreal, ELcmd, ELreal, 305.389365, 305.389392, 43.553202, 43.553128
[2024/10/08-15:05:50.123] AZcmd, AZreal, ELcmd, ELreal, 305.389561, 305.389574, 43.552314, 43.552247
[2024/10/08-15:05:50.444] AZcmd, AZreal, ELcmd, ELreal, 305.389753, 305.389757, 43.551440, 43.551365
[2024/10/08-15:05:50.765] AZcmd, AZreal, ELcmd, ELreal, 305.389947, 305.389970, 43.550557, 43.550483
[2024/10/08-15:05:51.083] AZcmd, AZreal, ELcmd, ELreal, 305.390141, 305.390152, 43.549675, 43.549601
[2024/10/08-15:05:51.406] AZcmd, AZreal, ELcmd, ELreal, 305.390334, 305.390365, 43.548801, 43.548720
[2024/10/08-15:05:51.723] AZcmd, AZreal, ELcmd, ELreal, 305.390529, 305.390578, 43.547912, 43.547868
[2024/10/08-15:05:52.044] AZcmd, AZreal, ELcmd, ELreal, 305.390721, 305.390730, 43.547041, 43.546986
[2024/10/08-15:05:52.366] AZcmd, AZreal, ELcmd, ELreal, 305.390915, 305.390973, 43.546157, 43.546074
[2024/10/08-15:05:52.683] AZcmd, AZreal, ELcmd, ELreal, 305.391110, 305.391095, 43.545271, 43.545223
[2024/10/08-15:05:53.005] AZcmd, AZreal, ELcmd, ELreal, 305.391302, 305.391338, 43.544400, 43.544311
[2024/10/08-15:05:53.323] AZcmd, AZreal, ELcmd, ELreal, 305.391498, 305.391520, 43.543513, 43.543429
[2024/10/08-15:05:53.642] AZcmd, AZreal, ELcmd, ELreal, 305.391690, 305.391703, 43.542641, 43.542608
[2024/10/08-15:05:53.967] AZcmd, AZreal, ELcmd, ELreal, 305.391883, 305.391916, 43.541764, 43.541696
[2024/10/08-15:05:54.284] AZcmd, AZreal, ELcmd, ELreal, 305.392080, 305.392128, 43.540870, 43.540784
[2024/10/08-15:05:54.605] AZcmd, AZreal, ELcmd, ELreal, 305.392272, 305.392250, 43.539998, 43.539963
[2024/10/08-15:05:54.923] AZcmd, AZreal, ELcmd, ELreal, 305.392466, 305.392554, 43.539114, 43.539051
[2024/10/08-15:05:55.243] AZcmd, AZreal, ELcmd, ELreal, 305.392659, 305.392615, 43.538240, 43.538169
[2024/10/08-15:05:55.564] AZcmd, AZreal, ELcmd, ELreal, 305.392853, 305.392889, 43.537360, 43.537287
[2024/10/08-15:05:55.882] AZcmd, AZreal, ELcmd, ELreal, 305.393047, 305.393071, 43.536477, 43.536405
[2024/10/08-15:05:56.204] AZcmd, AZreal, ELcmd, ELreal, 305.393240, 305.393253, 43.535603, 43.535524
[2024/10/08-15:05:56.522] AZcmd, AZreal, ELcmd, ELreal, 305.393435, 305.393466, 43.534719, 43.534642
[2024/10/08-15:05:56.842] AZcmd, AZreal, ELcmd, ELreal, 305.393628, 305.393649, 43.533843, 43.533760
[2024/10/08-15:05:57.164] AZcmd, AZreal, ELcmd, ELreal, 305.393821, 305.393831, 43.532964, 43.532878
[2024/10/08-15:05:57.484] AZcmd, AZreal, ELcmd, ELreal, 305.394017, 305.394074, 43.532078, 43.532027
[2024/10/08-15:05:57.805] AZcmd, AZreal, ELcmd, ELreal, 305.394210, 305.394196, 43.531199, 43.531115
[2024/10/08-15:05:58.123] AZcmd, AZreal, ELcmd, ELreal, 305.394406, 305.394439, 43.530314, 43.530203
[2024/10/08-15:05:58.444] AZcmd, AZreal, ELcmd, ELreal, 305.394598, 305.394622, 43.529440, 43.529351
[2024/10/08-15:05:58.762] AZcmd, AZreal, ELcmd, ELreal, 305.394793, 305.394834, 43.528559, 43.528470
[2024/10/08-15:05:59.082] AZcmd, AZreal, ELcmd, ELreal, 305.394986, 305.394986, 43.527684, 43.527618
[2024/10/08-15:05:59.404] AZcmd, AZreal, ELcmd, ELreal, 305.395180, 305.395230, 43.526803, 43.526736
[2024/10/08-15:05:59.724] AZcmd, AZreal, ELcmd, ELreal, 305.395375, 305.395382, 43.525918, 43.525855
[2024/10/08-15:06:00.042] AZcmd, AZreal, ELcmd, ELreal, 305.395569, 305.395655, 43.525039, 43.524973
[2024/10/08-15:06:00.363] AZcmd, AZreal, ELcmd, ELreal, 305.395762, 305.395747, 43.524163, 43.524091
[2024/10/08-15:06:00.687] AZcmd, AZreal, ELcmd, ELreal, 305.395956, 305.396020, 43.523282, 43.523209
[2024/10/08-15:06:01.002] AZcmd, AZreal, ELcmd, ELreal, 305.396153, 305.396172, 43.522391, 43.522297
[2024/10/08-15:06:01.322] AZcmd, AZreal, ELcmd, ELreal, 305.396344, 305.396385, 43.521523, 43.521446
[2024/10/08-15:06:01.642] AZcmd, AZreal, ELcmd, ELreal, 305.396539, 305.396598, 43.520643, 43.520564
[2024/10/08-15:06:01.964] AZcmd, AZreal, ELcmd, ELreal, 305.396733, 305.396750, 43.519763, 43.519682
[2024/10/08-15:06:02.283] AZcmd, AZreal, ELcmd, ELreal, 305.396928, 305.396963, 43.518879, 43.518801
[2024/10/08-15:06:02.602] AZcmd, AZreal, ELcmd, ELreal, 305.397122, 305.397176, 43.518001, 43.517919
[2024/10/08-15:06:02.923] AZcmd, AZreal, ELcmd, ELreal, 305.397315, 305.397328, 43.517125, 43.517037
[2024/10/08-15:06:03.243] AZcmd, AZreal, ELcmd, ELreal, 305.397510, 305.397541, 43.516242, 43.516155
[2024/10/08-15:06:03.561] AZcmd, AZreal, ELcmd, ELreal, 305.397704, 305.397723, 43.515363, 43.515274
[2024/10/08-15:06:03.886] AZcmd, AZreal, ELcmd, ELreal, 305.397898, 305.397936, 43.514486, 43.514422
[2024/10/08-15:06:04.203] AZcmd, AZreal, ELcmd, ELreal, 305.398095, 305.398149, 43.513594, 43.513510
[2024/10/08-15:06:04.523] AZcmd, AZreal, ELcmd, ELreal, 305.398287, 305.398301, 43.512724, 43.512659
[2024/10/08-15:06:04.843] AZcmd, AZreal, ELcmd, ELreal, 305.398481, 305.398483, 43.511843, 43.511777
[2024/10/08-15:06:05.164] AZcmd, AZreal, ELcmd, ELreal, 305.398676, 305.398726, 43.510963, 43.510865
[2024/10/08-15:06:05.487] AZcmd, AZreal, ELcmd, ELreal, 305.398871, 305.398848, 43.510079, 43.510014
[2024/10/08-15:06:05.802] AZcmd, AZreal, ELcmd, ELreal, 305.399067, 305.399152, 43.509192, 43.509101
[2024/10/08-15:06:06.125] AZcmd, AZreal, ELcmd, ELreal, 305.399258, 305.399243, 43.508325, 43.508250
[2024/10/08-15:06:06.442] AZcmd, AZreal, ELcmd, ELreal, 305.399454, 305.399517, 43.507438, 43.507368
[2024/10/08-15:06:06.763] AZcmd, AZreal, ELcmd, ELreal, 305.399647, 305.399669, 43.506565, 43.506486
[2024/10/08-15:06:07.085] AZcmd, AZreal, ELcmd, ELreal, 305.399842, 305.399882, 43.505685, 43.505605
[2024/10/08-15:06:07.403] AZcmd, AZreal, ELcmd, ELreal, 305.400038, 305.400095, 43.504798, 43.504723
[2024/10/08-15:06:07.724] AZcmd, AZreal, ELcmd, ELreal, 305.400231, 305.400247, 43.503923, 43.503841
[2024/10/08-15:06:08.044] AZcmd, AZreal, ELcmd, ELreal, 305.400426, 305.400459, 43.503042, 43.502959
[2024/10/08-15:06:08.366] AZcmd, AZreal, ELcmd, ELreal, 299.708252, 304.789980, 36.262860, 42.794088
[2024/10/08-15:06:08.687] AZcmd, AZreal, ELcmd, ELreal, 299.708650, 303.819682, 36.261916, 41.832882
[2024/10/08-15:06:09.004] AZcmd, AZreal, ELcmd, ELreal, 299.709047, 302.868936, 36.260976, 40.883230
[2024/10/08-15:06:09.323] AZcmd, AZreal, ELcmd, ELreal, 299.709439, 301.909797, 36.260047, 39.925885
[2024/10/08-15:06:09.648] AZcmd, AZreal, ELcmd, ELreal, 299.709834, 300.945733, 36.259112, 38.949598
[2024/10/08-15:06:09.965] AZcmd, AZreal, ELcmd, ELreal, 299.710235, 299.987203, 36.258162, 38.003868
[2024/10/08-15:06:10.288] AZcmd, AZreal, ELcmd, ELreal, 299.710627, 299.710422, 36.257233, 37.034361
[2024/10/08-15:06:10.604] AZcmd, AZreal, ELcmd, ELreal, 299.711026, 299.710483, 36.256288, 36.262703
