# SetNumber = 1
# AZ [deg], AZ_scanoffset [arcsec], power [dBm], T_B [K]
256.733882,-4320.000000,-20.200000,4.120838
256.734725,-4320.000000,-20.000000,5.886911
256.735569,-4320.000000,-20.030000,5.622000
256.736414,-4320.000000,-20.033000,5.595509
256.737258,-4320.000000,-20.240000,3.767623
256.738503,-4320.000000,-20.110000,4.915571
256.800294,-4105.945946,-20.040000,5.533697
256.862083,-3891.891892,-20.580000,0.765299
256.923872,-3677.837838,-20.001000,5.878081
256.985661,-3463.783784,-19.998000,5.904572
257.047449,-3249.729730,-19.680000,8.712629
257.109237,-3035.675676,-19.650000,8.977540
257.171024,-2821.621622,-19.550000,9.860577
257.232811,-2607.567568,-19.533000,10.010693
257.294597,-2393.513514,-19.455000,10.699462
257.356383,-2179.459459,-19.433000,10.893730
257.418168,-1965.405405,-19.333000,11.776766
257.479952,-1751.351351,-19.233000,12.659803
257.541737,-1537.297297,-19.133000,13.542840
257.603520,-1323.243243,-19.033000,14.425877
257.665303,-1109.189189,-18.000000,23.547646
257.727086,-895.135135,-17.000000,32.378013
257.788868,-681.081081,-13.000000,67.699482
257.850650,-467.027027,-10.040000,93.837369
257.912431,-252.972973,-10.020000,94.013976
257.974212,-38.918919,-10.024000,93.978655
258.035992,175.135135,-10.011000,94.093449
258.097772,389.189189,-10.329000,91.285393
258.159551,603.243243,-10.647000,88.477336
258.221330,817.297297,-14.000000,58.869115
258.283108,1031.351351,-17.000000,32.378013
258.344886,1245.405405,-18.300000,20.898536
258.406663,1459.459459,-19.000000,14.717279
258.468440,1673.513514,-20.400000,2.354765
258.530217,1887.567568,-20.053000,5.418902
258.591993,2101.621622,-20.067000,5.295277
258.653768,2315.675676,-20.053000,5.418902
258.715543,2529.729730,-20.043200,5.505440
258.777317,2743.783784,-20.043200,5.505440
258.839091,2957.837838,-20.043200,5.505440
258.900865,3171.891892,-20.076740,5.209269
258.962638,3385.945946,-20.063000,5.330598
259.024410,3600.000000,-20.063000,5.330598
259.024410,3600.000000,-20.063000,5.330598
259.025242,3600.000000,-20.063000,5.330598
259.026074,3600.000000,-20.063000,5.330598
259.026905,3600.000000,-20.063000,5.330598
259.027737,3600.000000,-20.063000,5.330598
259.028569,3600.000000,-20.063000,5.330598
# EL [deg], EL_scanoffset [arcsec], power [dBm], T_B [K]
11.745531,-4320.000000,-20.666667,0.000000
11.744481,-4320.000000,-20.666667,0.000000
11.743432,-4320.000000,-20.000000,5.886911
11.742381,-4320.000000,-20.030000,5.622000
11.741332,-4320.000000,-20.033000,5.595509
11.739841,-4320.000000,-20.240000,3.767623
11.797893,-4105.945946,-20.110000,4.915571
11.855949,-3891.891892,-20.040000,5.533697
11.914009,-3677.837838,-20.580000,0.765299
11.972072,-3463.783784,-20.001000,5.878081
12.030139,-3249.729730,-19.998000,5.904572
12.088209,-3035.675676,-19.680000,8.712629
12.146283,-2821.621622,-19.650000,8.977540
12.204361,-2607.567568,-19.550000,9.860577
12.262441,-2393.513514,-19.533000,10.010693
12.320526,-2179.459459,-19.455000,10.699462
12.378613,-1965.405405,-19.433000,10.893730
12.436704,-1751.351351,-19.333000,11.776766
12.494798,-1537.297297,-19.233000,12.659803
12.552895,-1323.243243,-19.133000,13.542840
12.610996,-1109.189189,-19.033000,14.425877
12.669099,-895.135135,-18.000000,23.547646
12.727206,-681.081081,-17.000000,32.378013
12.785315,-467.027027,-13.000000,67.699482
12.843428,-252.972973,-10.043000,93.810878
12.901544,-38.918919,-10.034000,93.890351
12.959662,175.135135,-10.024000,93.978655
13.017784,389.189189,-10.255000,91.938840
13.075908,603.243243,-10.253000,91.956500
13.134036,817.297297,-10.566000,89.192596
13.192166,1031.351351,-14.063000,58.312801
13.250298,1245.405405,-17.000000,32.378013
13.308434,1459.459459,-18.300000,20.898536
13.366572,1673.513514,-19.000000,14.717279
13.424713,1887.567568,-20.400000,2.354765
13.482856,2101.621622,-20.053000,5.418902
13.541002,2315.675676,-20.067000,5.295277
13.599151,2529.729730,-20.053000,5.418902
13.657302,2743.783784,-20.043200,5.505440
13.715456,2957.837838,-20.043200,5.505440
13.773612,3171.891892,-20.043200,5.505440
13.831771,3385.945946,-20.076740,5.209269
13.889932,3600.000000,-20.063000,5.330598
13.889932,3600.000000,-20.063000,5.330598
13.888882,3600.000000,-20.063000,5.330598
13.887833,3600.000000,-20.063000,5.330598
13.886784,3600.000000,-20.063000,5.330598
13.885734,3600.000000,-20.063000,5.330598
13.884685,3600.000000,-20.063000,5.330598
# SetNumber = 2
# AZ [deg], AZ_scanoffset [arcsec], power [dBm], T_B [K]
256.867835,-4320.000000,-20.030000,10.708433
256.868677,-4320.000000,-20.033000,10.682420
256.869520,-4320.000000,-20.240000,8.887566
256.870362,-4320.000000,-20.110000,10.014769
256.871204,-4320.000000,-20.040000,10.621725
256.872505,-4320.000000,-20.580000,5.939495
256.934254,-4105.945946,-20.001000,10.959886
256.996001,-3891.891892,-19.998000,10.985898
257.057748,-3677.837838,-19.680000,13.743211
257.119495,-3463.783784,-19.650000,14.003335
257.181241,-3249.729730,-19.550000,14.870414
257.242987,-3035.675676,-19.533000,15.017818
257.304732,-2821.621622,-19.455000,15.694140
257.366477,-2607.567568,-19.433000,15.884898
257.428221,-2393.513514,-19.333000,16.751977
