AZ [deg], EL [deg], AZ_scanoffset [arcsec], power [dBm], T_B [K]
257.001635,12.659193,-4320.000000,-20.030000,4.711281
257.002476,12.658141,-4320.000000,-20.033000,4.678677
257.003317,12.657089,-4320.000000,-20.240000,2.428999
257.004158,12.656038,-4320.000000,-20.110000,3.841840
257.004998,12.654987,-4320.000000,-20.040000,4.602601
257.006299,12.653360,-4320.000000,-20.580000,-1.266123
257.068005,12.652377,-4105.945946,-20.001000,5.026453
257.129712,12.651393,-3891.891892,-19.998000,5.059057
257.191417,12.650410,-3677.837838,-19.680000,8.515083
257.253123,12.649426,-3463.783784,-19.650000,8.841123
257.314828,12.648442,-3249.729730,-19.550000,9.927924
257.376532,12.647459,-3035.675676,-19.533000,10.112680
257.438236,12.646475,-2821.621622,-19.455000,10.960385
257.499939,12.645492,-2607.567568,-19.433000,11.199481
257.561642,12.644508,-2393.513514,-19.333000,12.286281
257.623345,12.643525,-2179.459459,-19.233000,13.373082
257.685047,12.642541,-1965.405405,-19.133000,14.459883
257.746748,12.641558,-1751.351351,-19.122000,14.579431
257.808449,12.640574,-1537.297297,-18.000000,26.773334
257.870149,12.639591,-1323.243243,-17.000000,37.641341
257.931849,12.638607,-1109.189189,-13.000000,81.113367
257.993549,12.637623,-895.135135,-10.040000,113.282666
258.055248,12.636640,-681.081081,-10.020000,113.500026
258.116947,12.635656,-467.027027,-10.024000,113.456554
258.178645,12.634673,-252.972973,-10.011000,113.597838
258.240342,12.633689,-38.918919,-10.329000,110.141812
258.302039,12.632706,175.135135,-10.647000,106.685786
258.363736,12.631722,389.189189,-14.000000,70.245360
258.425432,12.630738,603.243243,-17.000000,37.641341
258.487128,12.629755,817.297297,-18.300000,23.512932
258.548823,12.628771,1031.351351,-19.000000,15.905328
258.610518,12.627788,1245.405405,-20.400000,0.690118
258.672212,12.626804,1459.459459,-20.053000,4.461317
258.733906,12.625821,1673.513514,-20.067000,4.309165
258.795599,12.624837,1887.567568,-20.053000,4.461317
258.857292,12.623853,2101.621622,-20.043200,4.567823
258.918985,12.622870,2315.675676,-20.043200,4.567823
258.980677,12.621886,2529.729730,-20.043200,4.567823
259.042368,12.620903,2743.783784,-20.076740,4.203310
259.104059,12.619919,2957.837838,-20.063000,4.352637
259.165750,12.618935,3171.891892,-20.063000,4.352637
259.227440,12.617952,3385.945946,-20.063000,4.352637
259.289130,12.616968,3600.000000,-20.063000,4.352637
259.289130,12.616968,3600.000000,-20.063000,4.352637
259.289959,12.615919,3600.000000,-20.063000,4.352637
259.290788,12.614870,3600.000000,-20.063000,4.352637
259.291618,12.613820,3600.000000,-20.063000,4.352637
259.292447,12.612771,3600.000000,-20.384000,0.864007
259.293276,12.611722,3600.000000,-20.000000,5.037321
