AZ [deg], EL [deg], EL_scanoffset [arcsec], power [dBm], T_B [K]
258.275543,11.411615,-4320.000000,-19.998000,5.059057
258.276379,11.410564,-4320.000000,-20.563000,-1.081367
258.277214,11.409514,-4320.000000,-20.498000,-0.374946
258.278049,11.408464,-4320.000000,-20.466000,-0.027170
258.278886,11.407413,-4320.000000,-20.468000,-0.048906
258.280070,11.405924,-4320.000000,-20.572000,-1.179179
258.280851,11.463953,-4105.945946,-20.589000,-1.363935
258.281632,11.521985,-3891.891892,-20.042000,4.580865
258.282414,11.580022,-3677.837838,-20.043000,4.569997
258.283195,11.638063,-3463.783784,-20.003000,5.004717
258.283976,11.696107,-3249.729730,-20.040000,4.602601
258.284757,11.754156,-3035.675676,-19.530000,10.145284
258.285539,11.812208,-2821.621622,-19.440000,11.123405
258.286320,11.870264,-2607.567568,-19.300000,12.644926
258.287101,11.928323,-2393.513514,-19.352000,12.079789
258.287882,11.986387,-2179.459459,-19.321000,12.416697
258.288664,12.044453,-1965.405405,-18.002100,26.750511
258.289445,12.102524,-1751.351351,-17.050000,37.097940
258.290226,12.160597,-1537.297297,-14.000000,70.245360
258.291007,12.218675,-1323.243243,-11.000000,102.849380
258.291788,12.276755,-1109.189189,-10.040000,113.282666
258.292570,12.334839,-895.135135,-10.020000,113.500026
258.293351,12.392927,-681.081081,-10.024000,113.456554
258.294132,12.451017,-467.027027,-10.011000,113.597838
258.294913,12.509111,-252.972973,-10.329000,110.141812
258.295694,12.567208,-38.918919,-10.647000,106.685786
258.296475,12.625309,175.135135,-14.000000,70.245360
258.297257,12.683412,389.189189,-17.000000,37.641341
258.298038,12.741518,603.243243,-18.430000,22.100091
258.298819,12.799628,817.297297,-19.002000,15.883592
258.299600,12.857740,1031.351351,-20.041000,4.591733
258.300381,12.915856,1245.405405,-20.076740,4.203310
258.301162,12.973974,1459.459459,-20.063000,4.352637
258.301943,13.032095,1673.513514,-20.063000,4.352637
258.302724,13.090219,1887.567568,-20.063000,4.352637
258.303505,13.148346,2101.621622,-20.063000,4.352637
258.304287,13.206476,2315.675676,-20.063000,4.352637
258.305068,13.264608,2529.729730,-20.063000,4.352637
258.305849,13.322744,2743.783784,-20.063000,4.352637
258.306630,13.380882,2957.837838,-20.063000,4.352637
258.307411,13.439022,3171.891892,-20.181250,3.067495
258.308192,13.497165,3385.945946,-20.194567,2.922769
258.308973,13.555311,3600.000000,-20.207883,2.778044
258.308973,13.555311,3600.000000,-20.221200,2.633318
258.309806,13.554261,3600.000000,-20.234517,2.488592
258.310639,13.553211,3600.000000,-20.247833,2.343867
258.311472,13.552160,3600.000000,-20.261150,2.199141
258.312305,13.551110,3600.000000,-20.274467,2.054415
