AZ_1	EL_1	dAZ	AZ_2	EL_2	dEL
20.013807	57.542547	-0.026536869	18.788685	57.622041	0.047519717
11.405327	57.807658	-0.026343904	8.338848	57.738635	0.030352345
6.052989	57.631122	-0.025819097	2.525576	57.368933	0.030890359
1.282459	57.247967	-0.024131423	356.68835	56.666768	0.000475611
22.013807	59.542547	-0.023203536	20.788685	59.622041	0.014186384
13.405327	59.807658	-0.02301057	10.338848	59.738635	0.047019012
8.052989	59.631122	-0.020819097	4.525576	59.368933	0.030890359
3.282459	59.247967	-0.020798089	358.68835	59.666768	-0.000475611
24.013807	61.542547	-0.026536869	22.788685	61.622041	-0.030853051
15.405327	61.807658	-0.026343904	12.338848	61.738635	-0.013685678
11.052989	61.631122	-0.025819097	6.525576	61.368933	0.020890359
5.282459	61.247967	-0.024131423	1.68835	60.666768	-0.017142278
28.013807	65.542547	-0.026536869	28.788685	65.622041	0.047519717
19.405327	65.807658	-0.026343904	19.338848	65.738635	-0.030352345
14.052989	65.631122	-0.025819097	13.525576	65.368933	-0.022557025
9.282459	65.247967	-0.024131423	4.68835	66.666768	-0.000808944
