AZ, EL, dAZ, dEL
88.359126,22.344605,-0.048638999,0.09550799
87.919892,23.62456,-0.045921909,0.079988422
87.475305,24.90374,-0.043268728,0.075497575
87.024228,26.183432,-0.043324297,0.065018455
86.069231,28.827525,-0.031644426,0.051112605
85.595031,30.105228,-0.03399331,0.043843714
85.111751,31.382031,-0.028484271,0.036835445
84.618519,32.657955,-0.021853251,0.035021575
83.556163,35.309547,-0.02165503,0.022676156
82.925612,36.819321,-0.022339958,0.0140087
82.37731,38.09283,0.015654088,0.010095056
81.814497,39.36192,-0.010058661,0.005418378
80.586584,41.996893,-0.008000472,-0.002218815
79.965643,43.260267,-0.004716131,-0.006740452
79.322478,44.52088,-0.001774552,-0.009321647
78.654801,45.778959,-0.002031338,-0.010687048
77.181874,48.378405,0.005767434,-0.018687528
76.423861,49.625912,0.005999516,-0.020403184
75.630374,50.869364,0.012204013,-0.023069517
74.797624,52.108722,0.013654771,-0.026528614
72.934343,54.654979,0.014610854,-0.024188147
71.955451,55.876689,0.016808579,-0.024919497
70.917705,57.091819,0.018022301,-0.026331168
69.814934,58.299097,0.019648982,-0.025873752
67.287182,60.773899,0.017219107,-0.030641644
65.933114,61.9509,	0.01965026,-0.030467495
64.478477,63.113751,0.022807204,-0.028952563
62.908349,64.262627,0.023453221,-0.029387931
59.207079,66.597514,0.021093928,-0.028861157
57.182607,67.687089,0.02283933,-0.024824798
54.971795,68.750341,0.02148378,-0.020288581
52.548707,69.78412,0.019367556,-0.018243361
46.70685248,71.81831844,0.022462908,-0.008182927
43.45604132,72.72561086,0.024375047,-0.007067269
39.87012715,73.57843734,0.020350069,-0.003555459
35.92922787,74.36575984,0.015112261,0.002180409
26.52553021,75.74828638,0.019676833,0.007914075
21.39950314,76.26953072,0.016641536,0.013488529
15.92881439,76.68005498,0.016750535,0.018562841
10.17208557,76.96976249,0.016889398,0.024482582
357.6543774,77.15328489,0.01270441,0.025981712
351.6449789,77.03329435,0.009236385,0.024234603
345.7955577,76.7813883,0.005976939,0.025499366
340.1970495,76.40394891,-0.001708777,0.025473517
329.7196843,75.26962311,-0.008565712,0.023224139
325.2540484,74.57542286,-0.009125664,0.022836832
321.1831414,73.80311758,-0.013540606,0.021756497
317.4922069,72.96515363,-0.014490807,0.021996217
310.9052612,71.05625936,-0.012525167,0.020869315
308.1709181,70.06737202,-0.012483139,0.018425496
305.683788,69.04267138,-0.00991352,0.013991642
303.4149903,67.98665917,-0.013476652,0.009950705
299.3095603,65.71921021,-0.013077533,7.34169E-07
297.5692973,64.59183611,-0.013522229,4.85526E-05
295.9636541,63.44772476,-0.011982396,-0.00450322
294.4760345,62.28787885,-0.015647679,-0.013982877
291.7070211,59.8346191,-0.006414767,-0.008819921
290.5102412,58.63908307,0.000691638,-0.012976941
289.3880266,57.43455619,-0.000670137,-0.018831179
288.3320843,56.22094999,-0.007756245,-0.022635972
286.3284274,53.683028,0.00032076,-0.026046993
285.4404064,52.45057321,0.008449015,-0.030249776
284.5964963,51.21307272,0.003989273,-0.034169826
283.7920275,49.969918,-0.009192619,-0.020987746
282.2430916,47.39109048,0.012148479,-0.04250145
281.5408035,46.13728407,0.00230284,-0.048216069
280.8656954,44.88010793,0.006379453,-0.043350919
280.2158329,43.62037358,0.015852677,-0.044514902
278.9348293,40.99091419,0.001982884,-0.03301045
278.3497088,39.72433495,-0.000273012,-0.034884936
277.7821041,38.45565897,-0.000273012,-0.034884936
277.7821041,38.45565897,0.020037363,-0.050318501
275.124201,31.99468864,0.020827321,-0.011531526
