EL,secZ,power
60.630233,1.147483,452492.519867
51.571764,1.276508,458346.186411
45.732892,1.396466,427378.000000
40.436696,1.541764,464584.127300
36.214541,1.692590,456246.111322
33.345456,1.819221,461828.302844
31.997250,1.887225,467582.156022
28.284811,2.110351,473047.971400
26.279939,2.258574,478681.869689
24.040703,2.454677,483811.841611
23.604659,2.497356,488133.409478
23.007041,2.558564,494355.841867
20.277578,2.885432,499761.927444
19.427017,3.006562,504684.463433
18.475966,3.155502,509980.120733
17.437682,3.337023,513652.431378
16.323203,3.558018,519989.590456
15.141770,3.828362,523631.092189
15.892115,3.651943,529794.600156
14.597939,3.967710,534621.740956
